location,description,secs,category,CDNumber,CDName,tracknum
07050013.wav,"Point to Point Racing, two horses pass over jump, some faint P.A. & birdsong.",32,Animals: Horses: Racing: Point to Point,ECD031,Equestrian Events,13
07050012.wav,"Point to Point Racing, field passes over jump with 2 stragglers, very faint P.A. & some birdsong.",51,Animals: Horses: Racing: Point to Point,ECD031,Equestrian Events,12
07050011.wav,"Point to Point Racing, start of race with P.A.",17,Animals: Horses: Racing: Point to Point,ECD031,Equestrian Events,11
07050010.wav,"National Hunt Racing, horses pass over hurdle, with P.A., crowd & distant siren.",19,Crowds: Exterior,ECD031,Equestrian Events,10
07050009.wav,"National Hunt Racing, excited crowd at finish of 1989 Cheltenham Gold Cup, 1989, also distant P.A. with audible results (numbers only).",54,Crowds: Exterior: Excited,ECD031,Equestrian Events,9
07050008.wav,"National Hunt Racing, distinct P.A. commentary on whole race, also crowd noise, etc., getting excited towards finish.",481,Crowds: Exterior: Excited,ECD031,Equestrian Events,8
07050007.wav,"National Hunt Racing, start of race.",7,Animals: Horses: Racing: Steeplechases,ECD031,Equestrian Events,7
07050006.wav,"National Hunt Racing, atmosphere at start of race, with P.A., jockeys' chat & very distant siren, Starter asks ""Anybody else?"", false start &real start. ",109,Animals: Horses: Racing: Steeplechases,ECD031,Equestrian Events,6
07050005.wav,"National Hunt Racing, refreshment hut, very busy with chat.",325,Animals: Horses: Racing: Steeplechases,ECD031,Equestrian Events,5
07050004.wav,"National Hunt Racing, general course atmosphere with some bookmakers & papermen, chinks of coins. (Recorded before 1989 Cheltenham Gold Cup.)",235,Bookies,ECD031,Equestrian Events,4
07050003.wav,"National Hunt Racing, busy bookmakers with audible horses names, distant P.A. & distinct speech.",259,Bookies,ECD031,Equestrian Events,3
07050002.wav,"National Hunt Racing, bookmakers (fairly subdued) with audible horses' names & odds, also chinks of coins, footsteps & distant helicopter.",257,Bookies,ECD031,Equestrian Events,2
07050001.wav,"National Hunt Racing, Tote hall, with Racing Star paperman, footsteps, some chat & distant P.A.",242,Animals: Horses: Racing: Steeplechases,ECD031,Equestrian Events,1
07049125.wav,"City Airport atmosphere on concourse in arrivals, departures terminal building, without PA announcements. Airports E.",220,Airports: London City Airport,ECD051,London 2,15
07049124.wav,"Airport apron atmosphere as Dash 7 aircraft engines start up; aircraft taxis to end of runway (2'36""); and takes off.",342,Aircraft: Dash Seven,ECD051,London 2,14
07049123.wav,"Dash 7 (De Havilland, Canada) short take off and landing, 2 turboprops, airport apron atmosphere as Dash 7 lands: ",382,Aircraft: Dash Seven,ECD051,London 2,13
07049122.wav,"Quiet spring morning atmosphere in residential garden square, with birds, distant traffic and occasional close passing ",249,Atmospheres: Spring,ECD051,London 2,12
07049121.wav,Spring afternoon atmosphere in park with birds and distant heavy traffic.,281,Atmospheres: Spring,ECD051,London 2,11
07049120.wav,"Spring afternoon lakeside activity with waterfowl, footsteps and voices, distant traffic.",295,Atmospheres: Spring,ECD051,London 2,10
07049119.wav,"Trafalgar Square, London, mid distant group of children feeding pigeons and seagulls, heavy traffic background.",248,London: Trafalgar Square,ECD051,London 2,9
07049118.wav,"Heavy passing traffic and occasional voices and footsteps, river boat hoots at 3'14""",249,Boats: Sirens,ECD051,London 2,8
07049117.wav,"Atmosphere in West End side street with passing cars, taxis, motorbikes and pedestrians, occasional quiet periods.",308,London,ECD051,London 2,7
07049116.wav,Close perspective international crowds passing with heavy traffic background. (Rec. Oxford Circus),296,Crowds: Exterior,ECD051,London 2,6
07049115.wav,"Crowds in Covent Garden Piazza on a busy saturday afternoon, busker's music occassionally discernable in distance.",248,Crowds: Exterior,ECD051,London 2,5
07049114.wav,"Covent Garden, interior atmosphere busy market hall atmosphere with footsteps and voices.",258,Crowds: Exterior,ECD051,London 2,4
07049113.wav,"British Museum Elgin Marbles hall, quiet atmosphere of footsteps and voices in large echoey hall.",303,Halls,ECD051,London 2,3
07049112.wav,"British Museum entrance hall, large crowded entrance hall with footsteps, chatter and distant telephones.",334,Entrance Halls,ECD051,London 2,2
07049111.wav,"British Library reading room with passing footsteps and voices, book trolley passes at 5'50""",368,British Library,ECD051,London 2,1
07049110.wav,"Gare D'Austerliuz station concourse atmosphere at ticket barrier as train arrives, with electric trolleys passing, indistinct ",361,France,ECD050,France - Paris,19
07049109.wav,"Trains interior, train arrives at station, board train 24"", intermediate stops at 1'30"", and 2'35"" disembark at 3'46"", train ",273,France,ECD050,France - Paris,18
07049108.wav,"Platform atmosphere with footsteps and voices, trains arrive at 13"" and 2'48"" (Metro)",228,France,ECD050,France - Paris,17
07049107.wav,"Department store ""Printemps"" very busy atmosphere with electronic tills, footsteps and voices.",156,France,ECD050,France - Paris,16
07049106.wav,"International conversation in small restaurant, slight vent noise.",271,France,ECD050,France - Paris,15
07049105.wav,"Close perspective atmosphere at counter of busy lunchtime cafe, with expresso machine heard at 3'39""",258,Cafes: Coffee Machines,ECD050,France - Paris,14
07049104.wav,"Crowd atmosphere at Louvre Museum, footsteps and voices in the ""Grande Gallerie""",175,Crowds: Interior,ECD050,France - Paris,13
07049103.wav,"Large crowd at Louvre Museum in new entrance hall under glass pyramid, with occasional close speech.",174,Entrance Halls: France,ECD050,France - Paris,12
07049102.wav,Interior atmosphere in nave of Notre Dame.,239,Churches: France,ECD050,France - Paris,11
07049101.wav,"St. Marie Church bells, church clock strikes 12",36,Churches: Bells: France,ECD050,France - Paris,10
07049100.wav,"St. Gervais Church bells, atmosphere in church precinct as bells toll for sunday morning mass, with passing footsteps, ",306,Churches: Bells: France,ECD050,France - Paris,9
07049099.wav,"Versailles market atmosphere in busy street market on sunday morning, with vendors' calling.",271,France,ECD050,France - Paris,8
07049098.wav,Large group of children playing in Parisian playground.,186,Children: Playing,ECD050,France - Paris,7
07049097.wav,"Crowds, Eiffel Tower, atmosphere of large international crowd waiting for lifts, with distant traffic.",253,Crowds: Exterior,ECD050,France - Paris,6
07049096.wav,"Crowds, Tuileries Gardens, atmosphere at open air cafe, with speech, children, passing footsteps, birds and distant ",252,Cafes: France,ECD050,France - Paris,5
07049095.wav,"Crowds, Palais Royal Gardens, with birds, children playing, passing footsteps and speech.",234,Children: Playing,ECD050,France - Paris,4
07049094.wav,"City side street, with footsteps, occasional close voices, whistling, dog barking and passing vehicles.",216,Animals: Dogs: Barking,ECD050,France - Paris,3
07049093.wav,"Arc De Triomphe, heavy traffic with occasional police whistles.",205,France,ECD050,France - Paris,2
07049092.wav,"Avenue Des Champs Elysees, wide perspective with heavy traffic, pedestrians and occasional close speech, police ",259,France,ECD050,France - Paris,1
07049091.wav,Boeing 747 passes left to right at high altitude.,148,Aircraft: Boeing,ECD052,British Rural Backgrounds,18
07049090.wav,"Night atmosphere, open rural skyline, occasional gust of wind and rustle of leaves.",305,Atmospheres: Countryside,ECD052,British Rural Backgrounds,17
07049089.wav,"Daytime, open rural skyline, occasional gust of wind and rustle of leaves.",361,Atmospheres: Countryside,ECD052,British Rural Backgrounds,16
07049088.wav,"Very quiet lochside mixed woodland atmosphere in afternoon, waves lapping, occasional coal lit, wind in trees.",194,Atmospheres: Afternoon,ECD052,British Rural Backgrounds,15
07049087.wav,"Harbour atmosphere, with herring gull calls and quayside activity.",177,Atmospheres: Winter,ECD052,British Rural Backgrounds,14
07049086.wav,Herring gull breeding colony on roof top.,97,Atmospheres: Summer,ECD052,British Rural Backgrounds,13
07049085.wav,"Sea Cliffs & Rocky Shores, heavy seas with eiders, artic terns, fulmers, skylark & wren. (Recorded on a late spring evening.)",341,Atmospheres: Evening,ECD052,British Rural Backgrounds,12
07049084.wav,"Early evening atmosphere, closeup and mid distant calls from a flock grazing in field, blackbird, woodpigeons and other ",231,Atmospheres: Evening,ECD052,British Rural Backgrounds,11
07049083.wav,"Early evening atmosphere, mid close and distant calls from flock feeding on open hillside, chiffchaff and jackdaw in ",201,Atmospheres: Evening,ECD052,British Rural Backgrounds,10
07049082.wav,"Early evening atmosphere, mid distance calls from flock of sheep grazing in field, calls echo round valley, robin, ",284,Atmospheres: Evening,ECD052,British Rural Backgrounds,9
07049081.wav,"Summer afternoon farmyard atmosphere with house sparrow and blackbird calling, mid distance, with collared dove, ",286,Atmospheres: Farms,ECD052,British Rural Backgrounds,8
07049080.wav,"Summer afternoon atmosphere in farmyard with house sparrow calling mid distance, rook collared doves, sheep, insects ",252,Atmospheres: Afternoon,ECD052,British Rural Backgrounds,7
07049079.wav,"Atmosphere in farmyard, summer afternoon, with house sparrow calling, woodpigeon, collared dove, chaffinch, rook, ",266,Atmospheres: Afternoon,ECD052,British Rural Backgrounds,6
07049078.wav,"Summer afternoon atmosphere, house sparrow calling close, collared dove, woodpigeon, distant sheep, rooks, wren, ",235,Atmospheres: Afternoon,ECD052,British Rural Backgrounds,5
07049077.wav,"Rookery at dawn, also calls from jackdaw.",262,Atmospheres: Dawn,ECD052,British Rural Backgrounds,4
07049076.wav,"Early summer mixed woodland atmosphere, early morning with chiffchaff, goldcrest, wren alarm, lambs, fox yapping and ",240,Atmospheres: Morning,ECD052,British Rural Backgrounds,3
07049075.wav,"Deciduous woodland atmosphere at dawn with robins, wrens, woodpigeon, song thrush, rooks, chiffchaff, blackbird and ",281,Atmospheres: Dawn,ECD052,British Rural Backgrounds,2
07049074.wav,"Early morning mixed woodland atmosphere during early spring with robin, nuthatch, song thrush and blue tit, distant ",245,Atmospheres: Spring,ECD052,British Rural Backgrounds,1
07049073.wav,"Ammunition Factory, cartidges on conveyor belt.",83,Conveyor Belts,EC57S,Ammunition Factory,9
07049072.wav,"Ammunition Factory, cartridge printing machine in operation, with occasional indistinct speech.",64,Industry: Ammunition Factories,EC57S,Ammunition Factory,8
07049071.wav,"Ammunition Factory, cartridge capping machine in operation.",85,Industry: Ammunition Factories,EC57S,Ammunition Factory,7
07049070.wav,"Ammunition Factory, general background atmosphere. (No speech.)",50,Industry: Ammunition Factories,EC57S,Ammunition Factory,6
07049069.wav,"Ammunition Factory, plastic tubes being straightened.",46,Industry: Ammuntion Factories,EC57S,Ammunition Factory,5
07049068.wav,"Ammunition Factory, paper cartridge machine operating.",92,Industry: Ammumition Factories,EC57S,Ammunition Factory,4
07049067.wav,"Ammunition Factory, plastic tubing cut into lengths (with pause between each cut).",77,Industry: Ammunition Factories,EC57S,Ammunition Factory,3
07049066.wav,"Ammunition Factory, plastic cartridge extrusion machine operating.",43,Industry: Ammunition Factories,EC57S,Ammunition Factory,2
07049065.wav,"Ammunition Factory, background atmosphere in a plastic cartridge extrusion room. (No speech.)",111,Industry: Ammunition Factories,EC57S,Ammunition Factory,1
07049064.wav,"Sporting Gun Factory, checking firing mechanism of guns.",29,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,8
07049063.wav,"Sporting Gun Factory, general background with some voices.",155,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,7
07049062.wav,"Sporting Gun Factory, atmosphere in finishing department with machinery.",62,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,6
07049061.wav,"Sporting Gun Factory, shaping machine switched on, operates with occasional pauses.",62,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,5
07049060.wav,"Sporting Gun Factory, general background atmosphere with occasional indistinct speech.",65,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,4
07049059.wav,"Sporting Gun Factory, band saw switched on, operates with occasional pauses.",132,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,3
07049058.wav,"Sporting Gun Factory, copy lathe turning.",134,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,2
07049057.wav,"Sporting Gun Factory, copy lathe cutting gun butts.",23,Industry: Sporting Gun Factories,EC57R,Sporting Gun Factory,1
07049056.wav,"Drop forge shop, general atmosphere.",157,Industry: Drop Forges,EC57Q,Drop Forge Effects,7
07049055.wav,30cwt. Massey drop hammer and 5cwt. power hammer operating in a drop forge shop.,79,Hammers: Drop Hammers,EC57Q,Drop Forge Effects,6
07049054.wav,20cwt. Massey drop hammer operating in a drop forge shop.,80,Hammers: Drop Hammers,EC57Q,Drop Forge Effects,5
07049053.wav,5cwt. Massey power hammer operating in a drop forge shop.,25,Hammers: Power Hammers,EC57Q,Drop Forge Effects,4
07049052.wav,"Coining press in operation in drop forge shop, with some indistinct speech.",80,Industry: Drop Forges,EC57Q,Drop Forge Effects,3
07049051.wav,"Drop forge shop, interior, atmosphere.",151,Industry: Drop Forges,EC57Q,Drop Forge Effects,2
07049050.wav,"Drop forge shop, exterior, atmosphere.",153,Industry: Drop Forges,EC57Q,Drop Forge Effects,1
07049049.wav,"Sheet metal engineering machine shop, general atmosphere.",373,Industry: Sheet Metal Engineering,EC57M,Sheet Metal Engineering,7
07049048.wav,"Electrical engineering, arc squeaking and striking.",118,Electrical Engineering,EC57M,Sheet Metal Engineering,6
07049047.wav,"Electrical engineering, arc striking.",12,Electrical Engineering,EC57M,Sheet Metal Engineering,5
07049046.wav,"Chemical Works, crucible quenching in progress.",11,Chemical Works,EC57M,Sheet Metal Engineering,4
07049045.wav,"Chemical Works, crucible quenching in progress.",10,Chemical Works,EC57M,Sheet Metal Engineering,3
07049044.wav,"Sheet metal engineering, plate metal rolling machine operating with occasional pauses.",65,Industry: Sheet Metal Engineering,EC57M,Sheet Metal Engineering,2
07049043.wav,"Sheet metal engineering, sheet metal being drilled, continuous sound.",72,Drills: Industrial,EC57M,Sheet Metal Engineering,1
07049042.wav,"Sheet metal engineering, portable grinding machine operating.",54,Grinders: Metal,EC57L,Sheet Metal Engineering,8
07049041.wav,"Sheet metal engineering, stationary machine grinding metal.",63,Grinders: Metal,EC57L,Sheet Metal Engineering,7
07049040.wav,"Sheet metal engineering, auto hacksaw cutting through sheet metal.",150,Industry: Sheet Metal Engineering,EC57L,Sheet Metal Engineering,6
07049039.wav,"Sheet metal engineering, friction metal saw switched on, operates with pauses.",80,Industry: Sheet Metal Engineering,EC57L,Sheet Metal Engineering,5
07049038.wav,"Sheet metal engineering, sheet metal cut by guillotine.",54,Guillotines,EC57L,Sheet Metal Engineering,4
07049037.wav,"Sheet metal engineering, sheet metal cut by an oxy-acetylene torch. (Bangs at start.)",93,Acetylene Torches,EC57L,Sheet Metal Engineering,3
07049036.wav,"Sheet metal engineering, special welding in progress, pauses and indistinct speech. (Sounds like static.)",156,Industry: Sheet Metal Engineering,EC57L,Sheet Metal Engineering,2
07049035.wav,"Sheet metal engineering, arc welding with some indistinct speech.",62,Industry: Sheet Metal Engineering,EC57L,Sheet Metal Engineering,1
07049034.wav,"Workers clocking on or off work at factory, general atmosphere with indistinct speech with footsteps.",123,Clocking Machines,EC57K,Industry,7
07049033.wav,"Workers clocking on or off work at factory, general atmosphere with indistinct speech with footsteps & sound of clocking machine bell.",118,Clocking Machines,EC57K,Industry,6
07049032.wav,Oxy-acetylene torch cutting sheet metal.,132,Acetylene Torches,EC57K,Industry,5
07049031.wav,Oxy-acetylene torch cutting steel girder.,107,Acetylene Torches,EC57K,Industry,4
07049030.wav,"Internal grinder switched on, operating & run down to stop. (Repeated once at lower speed.)",116,Grinders: Internal,EC57K,Industry,3
07049029.wav,"Surface grinder operating, with occasional pauses.",77,Grinders: Surface,EC57K,Industry,2
07049028.wav,"Electric drill, three bursts.",26,Drills: Electric,EC57K,Industry,1
07049027.wav,"Motor Car Works, buffing sheet metal parts with some pauses.",202,Buffers: Metal,EC57J,Motor Car Works,4
07049026.wav,"Motor Car Works, scurfing sheet metal parts with constant hum of machinery.",203,Industry: Motor Car Manufacture,EC57J,Motor Car Works,3
07049025.wav,"Motor Car Works, 750 ton press stamping out metal parts. (Some indistinct speech)",191,Industry: Motor Car Manufacture,EC57J,Motor Car Works,2
07049024.wav,"Motor Car Works, high pressure air pipes singing.",197,Industry: Motor Car Manufacture,EC57J,Motor Car Works,1
07049023.wav,"Motor Car Works high-pressure spray plant, general atmosphere with pauses & indistinct speech.",195,Industry: Motor Car Manufacture,EC57H,Motor Car Works,5
07049022.wav,"Motor Car Works, spot welding of car bodies. (No speech)",148,Industry: Motor Car Manufacture,EC57H,Motor Car Works,4
07049021.wav,"Motor Car Works, tightening nuts mechanically, some pauses & background hammering.",62,Industry: Motor Car Manufacture,EC57H,Motor Car Works,3
07049020.wav,"Motor Car Works, body building shop atmosphere. (No speech.)",220,Industry: Motor Car Manufacture,EC57H,Motor Car Works,2
07049019.wav,"Motor Car Works, general atmosphere. (No speech.)",210,Industry: Motor Car Manufacture,EC57H,Motor Car Works,1
07049018.wav,"Tyre factory, tyre beading machine operating.",183,Industry: Tyre Manufacture,EC57G,Light Industry,4
07049017.wav,"Tyre factory, weathering tyres with hum & rattling of machinery.",149,Industry: Tyre Manufacture,EC57G,Light Industry,3
07049016.wav,"Tyre factory, mixing raw rubber.",246,Industry: Tyre Manufacture,EC57G,Light Industry,2
07049015.wav,"Tyre factory, heavy steam hisses. (Close perspective with some pauses.)",88,Industry: Tyre Manufacture,EC57G,Light Industry,1
07049014.wav,"Tyre factory, general atmosphere in a mill room. (No speech.)",361,Industry: Tyre Manufacture,EC57F,Light Industry,2
07049013.wav,"Tyre factory, debagging tyres, hisses with pauses.",365,Industry: Tyre Manufacture,EC57F,Light Industry,1
07049012.wav,"Tyre factory, general atmosphere. (No speech.)",304,Industry: Tyre Manufacture,EC57E,Light Industry,2
07049011.wav,"Motor accessories assembly shop, general atmosphere.",305,Industry: Motor Car Manufacture,EC57E,Light Industry,1
07049010.wav,"Assembly shop, general atmosphere with sound of machinery & some indistinct speech.",362,Industry: Light,EC57D,Light Industry,2
07049009.wav,"Machine shop, general atmosphere with constant sound of machinery. (No speech.)",324,Industry: Light,EC57D,Light Industry,1
07049008.wav,"Injection moulding shop, general atmosphere with machinery & some indistinct speech.",364,Industry: Light,EC57C,Light Industry,2
07049007.wav,"Assembly shop, general atmosphere with sound of machinery, occasional drilling & some indistinct speech.",299,Industry: Light,EC57C,Light Industry,1
07049006.wav,"Assembly shop, general atmosphere with sounds of machinery & machinery operating at quick pace.",347,Industry: Light,EC57B,Light Industry,2
07049005.wav,"Assembly shop, general atmosphere with sounds of machinery & machinery operating at quick pace.",317,Industry: Light,EC57B,Light Industry,1
07049004.wav,Weingarten hydraulic press operating.,366,Industry: Light,EC57A,Light Industry,4
07049003.wav,"Wire cutting machine operating, some pauses & indistinct speech.",118,Industry: Light,EC57A,Light Industry,3
07049002.wav,"Braiding machine operating, some pauses & indistinct speech.",143,Braiding Machines,EC57A,Light Industry,2
07049001.wav,Moulding crusher operating.,50,Crushers,EC57A,Light Industry,1
07048212.wav,"Two in flight,steep and shallow dives,1944 (reprocessed)",30,Fighters,ECD070,World War 2 - 1,69
07048211.wav,"Two taxi and take off,1944 (reprocessed)",55,Fighters,ECD070,World War 2 - 1,68
07048210.wav,"Landing,1944 (reprocessed)",22,Aircraft: Tempests,ECD070,World War 2 - 1,67
07048209.wav,"Take off ,1944 (reprocessed)",24,Fighters,ECD070,World War 2 - 1,66
07048208.wav,In flight(overhead)1944 (reprocessed),59,Fighters,ECD070,World War 2 - 1,65
07048207.wav,In flight(overhead)1944 (reprocessed),73,Fighters,ECD070,World War 2 - 1,64
07048206.wav,"In flight,circles aerodrome twice,lands,1944(reprocessed)",157,Fighters,ECD070,World War 2 - 1,63
07048205.wav,"Taxi to runway and take off,1944(reprocessed)",49,Fighters,ECD070,World War 2 - 1,62
07048204.wav,"Start up engine,tick over,shut off,1944 (reprocessed)",79,Fighters,ECD070,World War 2 - 1,61
07048203.wav,"Tempest (Single Engined Fighter) (GB) start up engine,tick over,rev up,shut off,1944(reprocessed)",105,Fighters,ECD070,World War 2 - 1,60
07048202.wav,Landing (reprocessed),34,Bombers,ECD070,World War 2 - 1,59
07048201.wav,Approaching and landing (reprocessed),79,Bombers,ECD070,World War 2 - 1,58
07048200.wav,"Circling aerodrome at 1,000-2,000 ft (reprocessed)",77,Bombers,ECD070,World War 2 - 1,57
07048199.wav,Taking off with others overhead(reprocessed),55,Bombers,ECD070,World War 2 - 1,56
07048198.wav,Taking off (reprocessed),36,Bombers,ECD070,World War 2 - 1,55
07048197.wav,Taking off (reprocessed),40,Bombers,ECD070,World War 2 - 1,54
07048196.wav,Taking off (reprocessed),34,Bombers,ECD070,World War 2 - 1,53
07048195.wav,"Starting up,engines running,stop engines(rec.outside aircraft) (reprocessed)",195,Bombers,ECD070,World War 2 - 1,52
07048194.wav,"Stirling (4 Engined Heavy Bomber, Transport) (GB) starting up with orders,engine running,stop engines with orders(rec.inside aircraft) (reprocessed)",154,Bombers,ECD070,World War 2 - 1,51
07048193.wav,One Spitfire taking off towards mic. (reprocessed),43,Aircraft: Spitfire,ECD070,World War 2 - 1,50
07048192.wav,One Spitfire taking off towards mic.(reprocessed),23,Aircraft: Spitfire,ECD070,World War 2 - 1,49
07048191.wav,One Spitfire flying low overhead (reprocessed),31,Aircraft: Spitfire,ECD070,World War 2 - 1,48
07048190.wav,One Spitfire flying low overhead (reprocessed),30,Aircraft: Spitfire,ECD070,World War 2 - 1,47
07048189.wav,Two squadrons passing at 1500 ft (reprocessed),74,Aircraft: Spitfire,ECD070,World War 2 - 1,46
07048188.wav,"Spitfire (Reconnaissance Fighter) (GB), two squadrons taking off in formation (reprocessed)",153,Aircraft: Spitfire,ECD070,World War 2 - 1,45
07048187.wav,Bombers circling aerodrome and coming in to land (reprocessed),73,Bombers,ECD070,World War 2 - 1,44
07048186.wav,Bombers in flight overhead (reprocessed),65,Bombers,ECD070,World War 2 - 1,43
07048185.wav,"Mitchell B25 (Bomber) (USA), 5 aircraft taxi-ing and taking off in succession(reprocessed)",178,Bombers,ECD070,World War 2 - 1,42
07048184.wav,"Landing, March 1945 (reprocessed)",36,Bombers,ECD070,World War 2 - 1,41
07048183.wav,"Taking off, March 1945 (reprocessed)",36,Bombers,ECD070,World War 2 - 1,40
07048182.wav,"Taking off, March 1945 (reprocessed)",31,Bombers,ECD070,World War 2 - 1,39
07048181.wav,"Marauder B24 (4 Engined Bomber) (USA) taking off,March 1945 (reprocessed)",25,Bombers,ECD070,World War 2 - 1,38
07048180.wav,"Aerodrome atmosphere with Liberators,engines idling,some aircraft movement,background birds,March 1945 (reprocessed)",174,Bombers,ECD070,World War 2 - 1,37
07048179.wav,"Taking off,March 1945 (reprocessed)",28,Bombers,ECD070,World War 2 - 1,36
07048178.wav,"Liberator B24 (4 Engined Bomber) (USA) taking off,March 1945 (reprocessed)",25,Bombers,ECD070,World War 2 - 1,35
07048177.wav,Taxi-ing and tick over (reprocessed),46,Fighters,ECD070,World War 2 - 1,34
07048176.wav,Coming in to land (reprocessed),33,Fighters,ECD070,World War 2 - 1,33
07048175.wav,Starting up,47,Fighters,ECD070,World War 2 - 1,32
07048174.wav,Diving (reprocessed),22,Fighters,ECD070,World War 2 - 1,31
07048173.wav,Diving (reprocessed),13,Fighters,ECD070,World War 2 - 1,30
07048172.wav,Diving (reprocessed),14,Fighters,ECD070,World War 2 - 1,29
07048171.wav,Diving (reprocessed),18,Fighters,ECD070,World War 2 - 1,28
07048170.wav,Hurricane (Fighter) (GB) diving (reprocessed),13,Fighters,ECD070,World War 2 - 1,27
07048169.wav,"Lands on ship and taxis forward,occasional voices (reprocessed)",41,Fighters,ECD070,World War 2 - 1,26
07048168.wav,Diving from ship (reprocessed),14,Fighters,ECD070,World War 2 - 1,25
07048167.wav,Takes off from ship (reprocessed),21,Fighters,ECD070,World War 2 - 1,24
07048166.wav,"Hellcat (Carrier Fighter, Fleet Air Arm) (USA) lands on ship,occasional voices (reprocessed)",21,Fighters,ECD070,World War 2 - 1,23
07048165.wav,Passing over in formation (from bomb bay) (reprocessed),135,Aircraft: Flying Fortress,ECD070,World War 2 - 1,22
07048164.wav,Passing over in formation (from ground) (reprocessed),88,Aircraft: Flying Fortress,ECD070,World War 2 - 1,21
07048163.wav,Interior in flight (rec.in lower blister) (reprocessed),101,Aircraft: Flying Fortress,ECD070,World War 2 - 1,20
07048162.wav,"Landing,March 1945 (reprocessed)",28,Aircraft: Flying Fortress,ECD070,World War 2 - 1,19
07048161.wav,"Landing,March 1945 (reprocessed)",28,Aircraft: Flying Fortress,ECD070,World War 2 - 1,18
07048160.wav,"Taking off,March 1945 (reprocessed)",25,Aircraft: Flying Fortress,ECD070,World War 2 - 1,17
07048159.wav,"Taking off,March 1945 (reprocessed)",34,Aircraft: Flying Fortress,ECD070,World War 2 - 1,16
07048158.wav,"Flying Fortress B17 (4 Engined Bomber) (USA) taking off,March 1945 (reprocessed)",51,Aircraft: Flying Fortress,ECD070,World War 2 - 1,15
07048157.wav,In flight (passing overhead) (reprocessed),58,Fighters,ECD070,World War 2 - 1,14
07048156.wav,Take off (reprocessed),40,Fighters,ECD070,World War 2 - 1,13
07048155.wav,Taxi-ing (reprocessed),34,Fighters,ECD070,World War 2 - 1,12
07048154.wav,Defiant (Turret Fighter) (GB) revving engine (reprocessed),40,Fighters,ECD070,World War 2 - 1,11
07048153.wav,"Catalina (Twin-Engine Patrol Flying Boat) (USA/Canada) diving,from nose (reprocessed)",85,Aircraft: Catalinas,ECD070,World War 2 - 1,10
07048152.wav,"Starts up,revs up,slows down,mic.placed in cockpit,perspex hood closed,normal flight speed,power dive and pull out(imitated) (reprocessed)",228,Aircraft: Barracuda,ECD070,World War 2 - 1,9
07048151.wav,"Takes off from ship,occasional voices (reprocessed)",28,Aircraft: Barracuda,ECD070,World War 2 - 1,8
07048150.wav,Takes off after revving up.Swordfish revs up in background and takes off (reprocessed),39,Aircraft: Swordfish,ECD070,World War 2 - 1,7
07048149.wav,"Revving up,occasional voices (reprocessed)",26,Aircraft: Barracuda,ECD070,World War 2 - 1,6
07048148.wav,Lands on ship (reprocessed),19,Aircraft: Barracuda,ECD070,World War 2 - 1,5
07048147.wav,"Lands on ship,high speed revving,taxis forward,cuts out engine,occasional voices(reprocessed)",38,Aircraft: Barracuda,ECD070,World War 2 - 1,4
07048146.wav,"Lands on ship and taxis forward,occasional voices (reprocessed)",33,Aircraft: Barracuda,ECD070,World War 2 - 1,3
07048145.wav,"Lands on ship,ticks over,revs up,takes off,occasional voices in background (reprocessed)",95,Aircraft: Barracuda,ECD070,World War 2 - 1,2
07048144.wav,"Barracuda (Light Bomber, Fleet Air Arm) (GB) misfire on starting,twice (reprocessed)",23,Aircraft: Barracuda,ECD070,World War 2 - 1,1
07048143.wav,"Market, Moscow (interior) morning, busy with clanks, speech, footsteps and general bustle",276,Moscow,ECD062,European Cities,16
07048142.wav,"Central Market, Moscow (exterior) very lively, with some distinct speech also distant traffic",230,Moscow,ECD062,European Cities,15
07048141.wav,"Metro ride, Moscow, train stops and starts several times, with doors opening and closing, also PA and some speech",182,Trains: Doors And Windows,ECD062,European Cities,14
07048140.wav,"Mayakovskovo Metro Station, platform, continuous noise of trains arriving and departing, also footsteps and air conditioning noise",286,Moscow,ECD062,European Cities,13
07048139.wav,"Mayakovskovo Metro Station, ticket hall during evening rush hour, very busy with footsteps, escalator noise, some distinct speech",282,Moscow,ECD062,European Cities,12
07048138.wav,"Red Square outside Lenin Mausoleum, some speech, including foreign tourists, also bells (indexed) and footsteps",255,Moscow,ECD062,European Cities,11
07048137.wav,"Street shopping mall, with footsteps, chat and distant traffic",250,Shops: Shopping Precincts,ECD062,European Cities,10
07048136.wav,"Foyer, Rossiya Hotel, Moscow (large cosmopolitan hotel, Red Square) chat in various languages and general bustle",218,Foyers,ECD062,European Cities,9
07048135.wav,"Horse-drawn carriages on cobbles in Stephansplatz, also speech (including children) footsteps, some traffic",220,Cobblestones,ECD062,European Cities,8
07048134.wav,"Courtyard in Hofburg Palace, footsteps and distinct speech (including foreign tourists and children) exterior with echo",271,Austria,ECD062,European Cities,7
07048133.wav,"Traffic in Opernring (main road in middle of city) heavy traffic, including trams with bells, also roadworks",229,Trams: Bells,ECD062,European Cities,6
